callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
RYR3VL,4caff6,B738,B738W26,201.03,597.0,57.2,119.0,597
FIN8AZ,461e18,E190,EMB-190STD,132.21,600.0,52.5,133.0,600
FIN811,461f62,A320,A320-232,142.12,599.0,52.5,106.0,599
KLM91Y,485a34,B738,B738W26,155.84,625.0,58.8,121.0,625
SAS38M,4cad88,A20N,A320-271N,120.8,620.0,58.8,128.0,620
