callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
FIN811,A320,A320-232,87.33,166.85,79.52,47.7,622,57.6
SAS2546,A20N,A320-271N,70.69,165.97,95.28,57.4,650,62.1
ICE306,B39M,B738W26,81.97,112.68,30.71,27.3,520,40.3
FIN8AZ,E190,EMB-190STD,77.58,193.39,115.81,59.9,620,63.9
MLLMW,B350,B738W26,100.17,217.99,117.82,54.0,662,53.1
RYR6506,B738,B738W26,99.87,196.27,96.4,49.1,717,73.3
KLM91Y,B738,B738W26,101.73,235.38,133.64,56.8,746,75.5
SAS72C,A20N,A320-271N,76.93,154.59,77.66,50.2,720,71.9
SAS77A,CRJ9,EMB-190LR,78.89,158.63,79.74,50.3,666,69.9
SAS38M,A20N,A320-271N,77.79,186.86,109.07,58.4,733,74.8
RYR8PZ,B738,B738W26,100.0,213.99,113.99,53.3,727,75.3
SAS92D,B738,B738W26,41.78,39.87,-1.91,-4.8,250,16.6
NSZ2MP,B738,B738W26,100.3,218.69,118.39,54.1,728,75.0
RYR3VL,B738,B738W26,99.08,213.97,114.89,53.7,716,73.8
SAS868,A20N,A320-271N,45.94,79.96,34.02,42.5,387,27.8
SAS080,B738,B738W26,78.44,201.4,122.96,61.1,494,38.3
SAS88K,A20N,A320-271N,76.69,137.59,60.9,44.3,721,73.2
SAS42E,A20N,A320-271N,79.63,160.44,80.81,50.4,752,78.4
DLH4RJ,A20N,A320-271N,75.19,148.29,73.1,49.3,704,70.7
