callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm
SAS84B,4cad40,N,9,60.08967590332031,18.368856495824353,3992.88,173.73894286755524,188.51398792975036,-3.90144,13.277277604730303
SAS007,4a91fa,N,9,60.56062316894531,18.55193039466595,5966.46,213.8311719165323,195.77498595541408,-8.77824,17.967994356135016
SAS709,4ab5d5,E,66,59.70301224013506,19.436613937904095,4861.56,133.76434354212572,256.65854069659474,0.0,9.685428290121987
FIN5P,461f69,E,66,59.968963623046875,19.90211223733836,7551.42,221.76116927604943,72.4477482985925,8.45312,27.07955946165838
SAS4225,4ab56b,E,66,59.55437094478284,18.190423373518318,2118.36,142.34861625529712,198.7623497137664,-9.7536,30.538515863124676
SAS40L,4caf14,E,66,59.67549986758474,18.078192349137932,784.86,102.83862947795296,77.28466301110524,14.955520000000002,31.984130519602775
SWR2YB,502d59,E,66,59.707672119140625,17.946990966796875,1805.94,107.72658811831738,273.5592668212832,12.354560000000001,35.749847951816896
NSZ4506,4aca8f,S,160,58.35919189453125,17.569530856224798,7940.04,181.91979351751914,19.664723007800696,-10.07872,28.62425649005995
FIN60H,461f9c,S,160,59.01706501588983,18.813802784886853,11887.2,227.1583390906456,47.202598161765806,0.0,30.789010627379213
SEEZU,4a9755,S,160,59.344606561175844,17.741309856546337,-22.86,30.785078608572956,9.619727799698852,-0.32512,33.066540890136814
4ae284,4ae284,S,160,59.3448486328125,17.736328125,-15.24,34.98597447197948,289.76716867679164,15.60576,33.10587760070583
4aab15,4aab15,S,160,59.34902902376854,18.031974003232758,7.62,200.0,0.0,2.9260800000000002,33.107366428169684
NOZ813,47875c,W,45,59.777775134070446,16.114291487068964,9334.5,210.11495182863828,278.44752724790845,11.3792,18.165330647554807
SEKMI,4aada9,W,45,59.530815512447035,16.384119494207972,274.32,51.999576074065374,64.19546760005288,-1.95072,21.232381739738436
SAS2471,4aca78,W,45,60.42402648925781,16.53754924905711,9090.66,177.52418166975133,314.53037298031035,7.152640000000001,35.02061035248935
NJE147P,490d0d,W,45,59.12663269042969,14.775054931640625,11018.52,223.0463312354956,57.336234613179776,-10.40384,72.88017271261306
SAS76H,4cadd9,W,45,59.00047302246094,13.80322265625,11879.58,232.50193992616911,72.48715695188979,0.0,102.01046353474302
