callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS029,B738,B738W26,122.93,750.75,627.82,83.6,873,77.1
SAS31A,A20N,A320-271N,89.86,727.96,638.1,87.7,841,77.1
SWE36A,PC24,EMB-505,43.07,209.07,166.0,79.4,880,77.2
NOZ8WQ,B738,B738W26,107.39,407.83,300.44,73.7,722,58.9
TAP782,A321,A321-131,113.56,518.28,404.72,78.1,726,58.8
RYR71ZY,B738,B738W26,92.77,861.64,768.87,89.2,634,58.8
SAS739,CRJ9,EMB-190LR,71.3,436.58,365.28,83.7,565,52.6
NSZ2616,B738,B738W26,98.03,259.0,160.97,62.2,647,52.6
TAY1804,B734,B73423,90.53,211.78,121.25,57.3,584,52.6
VJT405,CL35,B738W26,95.92,620.65,524.73,84.5,645,57.2
SAS80D,A20N,A320-271N,73.32,441.32,368.0,83.4,657,57.3
DLH6VX,A320,A320-232,90.62,618.6,527.98,85.4,657,57.2
LOT4CE,E75S,B738W26,96.04,703.99,607.95,86.4,646,57.2
JFA41U,PC24,EMB-505,29.44,230.98,201.54,87.3,558,57.2
