callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS029,750.75,122.93,627.82,83.6,873,77.1
SAS31A,727.96,89.86,638.1,87.7,841,77.1
SWE36A,209.07,43.07,166.0,79.4,880,77.2
NOZ8WQ,407.83,107.39,300.44,73.7,722,58.9
TAP782,518.28,113.56,404.72,78.1,726,58.8
RYR71ZY,861.64,92.77,768.87,89.2,634,58.8
SAS739,436.58,71.3,365.28,83.7,565,52.6
NSZ2616,259.0,98.03,160.97,62.2,647,52.6
TAY1804,211.78,90.53,121.25,57.3,584,52.6
VJT405,620.65,95.92,524.73,84.5,645,57.2
SAS80D,441.32,73.32,368.0,83.4,657,57.3
DLH6VX,618.6,90.62,527.98,85.4,657,57.2
LOT4CE,703.99,96.04,607.95,86.4,646,57.2
JFA41U,230.98,29.44,201.54,87.3,558,57.2
