callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
NSZ44L,B38M,B738W26,122.77,880.47,757.7,86.1,874,77.1
SAS035,A20N,A320-271N,115.34,445.57,330.23,74.1,1071,77.0
SAS46C,A20N,A320-271N,106.38,500.03,393.65,78.7,986,77.1
SWE72A,PC24,EMB-505,47.77,192.31,144.54,75.2,991,77.0
NSZ4110,B38M,B738W26,103.84,430.68,326.84,75.9,698,58.8
NOZ842,B738,B738W26,107.39,383.95,276.56,72.0,721,58.7
SAS884,CRJ9,EMB-190LR,77.02,507.09,430.07,84.8,622,58.7
EWG7JF,A319,A319-131,95.42,796.17,700.75,88.0,651,58.8
SAS41A,A20N,A320-271N,73.58,457.35,383.77,83.9,663,58.8
FIN5LQ,A320,A320-232,84.07,575.82,491.75,85.4,604,52.5
CCA911,A359,A350-941,186.8,725.61,538.81,74.3,658,52.5
VKG635,A339,B738W26,93.34,672.55,579.21,86.1,630,57.2
SAS2112,A20N,A320-271N,68.25,785.5,717.25,91.3,617,57.2
