callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
NSZ44L,880.47,122.77,757.7,86.1,874,77.1
SAS035,445.57,115.34,330.23,74.1,1071,77.0
SAS46C,500.03,106.38,393.65,78.7,986,77.1
SWE72A,192.31,47.77,144.54,75.2,991,77.0
NSZ4110,430.68,103.84,326.84,75.9,698,58.8
NOZ842,383.95,107.39,276.56,72.0,721,58.7
SAS884,507.09,77.02,430.07,84.8,622,58.7
EWG7JF,796.17,95.42,700.75,88.0,651,58.8
SAS41A,457.35,73.58,383.77,83.9,663,58.8
FIN5LQ,575.82,84.07,491.75,85.4,604,52.5
CCA911,725.61,186.8,538.81,74.3,658,52.5
VKG635,672.55,93.34,579.21,86.1,630,57.2
SAS2112,785.5,68.25,717.25,91.3,617,57.2
