callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
MMD6676,459744,F2TH,B738W26,300.87,998.0,65.1,84.0,844
SAS1444,4ac9f5,A20N,A320-271N,259.79,1423.0,77.8,124.0,1037
SAS410,4cad41,B738,B738W26,8.46,161.0,1.6,18.0,35
NSZ16Z,4aca50,B738,B738W26,1413.94,2177.0,232.3,208.0,2155
SAS164,4cadda,B738,B738W26,344.17,1092.0,80.7,110.0,959
NSZ5352,4aca05,B738,B738W26,357.97,1485.0,93.4,125.0,1212
KLM1225,484b8f,B737,B737W24,1020.06,2549.0,239.0,261.0,2421
WZZ1ZG,4d248f,A21N,A321-131,948.75,2406.0,196.5,221.0,2279
NSZ6FY,4aca15,B738,B738W26,164.61,672.0,28.5,57.0,546
SWE42B,4acac5,PC24,EMB-505,277.65,3598.0,141.4,161.0,1776
SEVVP,4adad0,WT9,B738W26,1075.15,1861.0,37.3,29.0,1522
VKG841,45d069,A321,A321-131,611.65,1078.0,115.4,350.0,1078
NSZ5052,4aca95,B38M,B738W26,1141.55,2294.0,242.4,325.0,2294
VKG839,45d962,A21N,A321-131,203.71,1041.0,44.3,73.0,636
WMT745,4d2020,A319,A319-131,805.7,2341.0,197.0,243.0,2198
RYR8QX,4d2262,B738,B738W26,679.62,1765.0,175.4,300.0,1765
KLM1245,484b32,E190,EMB-190STD,445.88,1908.0,126.1,185.0,1449
BTI1X9,502d58,BCS3,A319-131,691.62,1843.0,154.9,187.0,1713
SAS2003,4ac9e2,A20N,A320-271N,848.95,1395.0,194.6,292.0,1395
NSZ3210,4aca45,B738,B738W26,1572.87,2251.0,234.1,290.0,2251
FIN928,461e17,E190,EMB-190STD,486.17,1670.0,141.8,185.0,1525
NSZ2047,4aca53,B738,B738W26,937.52,1515.0,167.3,370.0,1515
SERMT,4ac9b4,GLEX,B738W26,974.47,2274.0,199.5,220.0,2140
FIN24Q,461fa0,A321,A321-131,1228.43,1736.0,187.3,350.0,1736
FIN8ZR,461e1e,E190,EMB-190STD,490.15,1157.0,116.4,386.0,1157
EWG5PC,4d24d3,A320,A320-232,269.61,1302.0,61.1,77.0,916
BLX70Y,4ac9c6,B38M,B738W26,150.03,546.0,38.3,77.0,546
SAS1430,4ac9ee,A20N,A320-271N,1124.18,2774.0,245.6,269.0,2649
