callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS57J,606.66,97.41,509.25,83.9,895,77.0
FIN5P,733.6,99.51,634.09,86.4,650,58.8
NOZ812,547.5,102.68,444.82,81.2,685,58.7
SAS486,397.58,82.68,314.9,79.2,659,58.7
ICE306,497.86,101.45,396.41,79.6,677,58.7
BEL2JZ,458.07,117.71,340.36,74.3,760,58.7
SWR5ZM,371.71,103.26,268.45,72.2,675,52.5
RYR8QX,665.81,93.56,572.25,85.9,625,57.2
THY6QL,598.45,95.73,502.72,84.0,637,57.2
