callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
FNF238,998.82,111.89,886.93,88.8,794,77.1
SAS83L,644.8,128.16,516.64,80.1,894,77.1
SAS025,558.16,99.14,459.02,82.2,911,77.0
NOZ804,430.1,106.39,323.71,75.3,706,58.7
SAS60P,385.8,78.69,307.11,79.6,699,58.7
DAL204,655.35,171.68,483.67,73.8,777,58.8
ABF1,366.57,94.44,272.13,74.2,618,52.5
NSZ6RD,235.27,98.67,136.6,58.1,644,52.5
ASL96K,634.07,99.36,534.71,84.3,662,57.2
RYR5W,578.83,98.93,479.9,82.9,657,57.2
AUA96F,709.57,89.85,619.72,87.3,649,57.2
VKG4984,602.87,97.71,505.16,83.8,650,57.3
