callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
FNF238,LJ35,B738W26,111.89,998.82,886.93,88.8,794,77.1
SAS83L,B738,B738W26,128.16,644.8,516.64,80.1,894,77.1
SAS025,A20N,A320-271N,99.14,558.16,459.02,82.2,911,77.0
NOZ804,B738,B738W26,106.39,430.1,323.71,75.3,706,58.7
SAS60P,A20N,A320-271N,78.69,385.8,307.11,79.6,699,58.7
DAL204,B763,B763ERGE61,171.68,655.35,483.67,73.8,777,58.8
ABF1,C25A,B738W26,94.44,366.57,272.13,74.2,618,52.5
NSZ6RD,B38M,B738W26,98.67,235.27,136.6,58.1,644,52.5
ASL96K,BCS3,A319-131,99.36,634.07,534.71,84.3,662,57.2
RYR5W,B738,B738W26,98.93,578.83,479.9,82.9,657,57.2
AUA96F,A320,A320-232,89.85,709.57,619.72,87.3,649,57.2
VKG4984,A339,B738W26,97.71,602.87,505.16,83.8,650,57.3
